party_code,party_name,main_stream
Ablish,Abolitionist Party of Canada,f
AniAEV,Animal Alliance Environment Voters Party of Canada,f
AniPP,Animal Protection Party,f
AConfed,Anti-Confederate,t
Bloc,Bloc Québécois,t
BlocPC,Bloc populaire canadien,f
CFF,CFF - Canada's Fourth Front,t
CdaP,Canada Party,f
CAP,Canadian Action Party,f
CAlli,Canadian Alliance,t
CHP,Christian Heritage Party,f
CCF,Co-operative Commonwealth Federation,t
Com,Communist Party of Canada,f
CRWest,Confederation of Regions Western Party,f
Con,Conservative Party of Canada,t
FstPpl,First Peoples National Party of Canada,f
FDemo,Forces et Démocratie - Allier les forces de nos régions,f
Govt,Government,t
Grn,Green Party of Canada,t
Ind,Independent,f
Labour,Labour,f
LabPP,Labour Progressive Party,f
Lib,Liberal,t
LibLP,Liberal Labour Party,f
LibPro,Liberal Progressive,f
LibCon,Liberal-Conservative,t
Libtar,Libertarian Party of Canada,f
Marij,Marijuana Party,f
M-L,Marxist-Leninist Party,f
McCart,McCarthyite,f
NCA,National Citizens Alliance,f
NGovt,National Government,t
NPC,National Party of Canada,f
Ntnlst,Nationalist,f
NLP,Natural Law Party of Canada,f
NDemo,New Democracy,f
NDP,New Democratic Party,t
Opp,Opposition,t
PNQ,Parti Nationaliste du Québec,f
Comwlth,Party for the Commonwealth of Canada,f
PInd,Patrons of Industry,f
PPC,People's Party,f
Pirate,Pirate Party of Canada,f
IndQ,Pour l'Indépendance du Québec,f
Prog,Progressive,t
PCdnP,Progressive Canadian Party,f
PC,Progressive Conservative Party,t
RCred,Ralliement Créditiste,t
ReconP,Reconstruction Party,t
Reform,Reform Party of Canada,t
Rhino,Rhinoceros,f
SoCred,Social Credit Party of Canada,t
Social,Socialist,f
SCChg,Stop Climate Change,f
UPop,Union Populaire,f
UElect,Union of Electors,f
UFarm,United Farmers,f
Unknown,Unknown,f
VCP,VCP,f
WestBP,Western Block Party,f
