election_id,election_date,_votes,Con_votes,Env_votes,Labour_votes,Lib_votes,Oth_votes,Pop_votes,Quebec_votes,SglIss,_seats,Con_seats,Env_seats,Labour_seats,Lib_seats,Oth_seats,Pop_seats,Quebec_seats,SglIss,1st,2nd,3rd
1,1867-08-07,,93412,,,61866,91800,,,21239,,100,,,62,,,,18,Con,Lib,SglIss
2,1872-07-20,,124532,,1422,115495,76880,,,,,99,,1,97,3,,,,Con,Lib,Oth
3,1874-01-22,,99499,,1515,133982,87613,,,,,67,,,135,4,,,,Lib,Con,Oth
4,1878-09-17,,235001,,,181585,127364,,,,,136,,,64,6,,,,Con,Lib,Oth
5,1882-06-20,,206363,,,167076,140489,,,,,134,,,75,2,,,,Con,Lib,Oth
6,1887-02-22,,355336,,,328258,41462,,,,,126,,,86,4,,,,Con,Lib,Oth
7,1891-03-05,,391498,,,356144,30944,,,,,120,,,92,4,,,,Con,Lib,Oth
8,1896-06-23,,422038,,,402997,67778,,,6233,,90,,,118,6,,,,Lib,Con,Oth
9,1900-11-07,,448411,,6365,482653,13334,,,,,80,,1,129,3,,,,Lib,Con,Oth
10,1904-11-03,,478429,,3953,521350,26056,,,,,76,,,137,1,,,,Lib,Con,Oth
11,1908-10-26,,550771,,16471,577100,30381,,,,,86,,1,133,1,,,,Lib,Con,Oth
12,1911-09-21,,647937,,16675,598704,44135,,,,,135,,1,85,,,,,Con,Lib,Labour
13,1917-12-17,,1070694,,34558,756780,18709,,,,,152,,,83,,,,,Con,Lib,Labour
14,1921-12-06,,948010,,119185,1287538,769170,,,,,50,,7,118,60,,,,Lib,Oth,Con
15,1925-10-29,,1472132,,78263,1288782,306433,,,6915,,116,,4,101,24,,,,Con,Lib,Oth
16,1926-09-14,,1494086,,128413,1412280,221600,,,129,,91,,16,117,21,,,,Lib,Con,Oth
17,1930-07-28,,1894601,,136715,1719115,145122,,,2989,,136,,13,88,8,,,,Con,Lib,Labour
18,1935-10-14,,1314930,,442117,2022078,55995,568924,,4040,,40,,8,174,5,18,,,Lib,Con,Pop
19,1940-03-26,,1407175,,451659,2513195,107146,141173,,642,,40,,10,181,4,10,,,Lib,Con,Pop
20,1945-06-11,,1470810,,944377,2180336,265201,384985,,,,67,,30,126,7,15,,,Lib,Con,Labour
21,1949-06-27,,1742456,,923197,2908504,141886,139815,,,,41,,14,193,5,10,,,Lib,Con,Labour
22,1953-08-10,,1751215,,707442,2800139,76834,305973,,333,,51,,24,171,4,15,,,Lib,Con,Labour
23,1957-06-10,,2579257,,726411,2786452,71177,445178,,,,112,,26,106,2,19,,,Con,Lib,Labour
24,1958-03-31,,3910852,,715749,2445007,15866,196993,,,,208,,9,48,,,,,Con,Lib,Labour
25,1962-06-18,,2868255,,1066678,2856995,14494,893479,,,,116,,20,99,,30,,,Con,Lib,Pop
26,1963-04-08,,2594737,,1066836,3291654,6272,941420,,,,95,,18,129,,24,,,Lib,Con,Pop
27,1965-11-08,,2513684,,1387014,3116259,54247,642134,,,,98,,21,131,1,14,,,Lib,Con,Labour
28,1968-06-25,,2558130,,1393074,3703586,42412,429566,,,,72,,23,154,1,14,,,Lib,Con,Labour
29,1972-10-30,,3388980,,1725719,3717804,114201,730759,,,,107,,31,109,2,15,,,Lib,Con,Labour
30,1974-07-08,,3371319,,1496109,4102853,56420,481231,,,,95,,16,141,1,11,,,Lib,Con,Labour
31,1979-05-22,,4111606,,2072360,4595319,114753,543456,,19514,,136,,26,114,,6,,,Con,Lib,Labour
32,1980-02-18,,3552994,,2185837,4855425,140664,200142,,14474,,103,,32,147,,,,,Lib,Con,Labour
33,1984-09-04,,6344473,26921,2367394,3516486,167550,40173,85865,,,211,,30,40,1,,,,Con,Lib,Labour
34,1988-11-21,,5811418,47228,2692359,4205072,107138,312309,,,,169,,43,83,,,,,Con,Lib,Labour
35,1993-10-25,,2216780,32979,944711,5647952,311466,2573875,1846024,93884,,2,,9,177,1,52,54,,Lib,Quebec,Pop
36,1997-06-02,,2475790,55583,1445977,4994277,60759,2530582,1385821,37085,,20,,21,155,1,60,44,,Lib,Pop,Quebec
37,2000-11-27,,4843950,104399,1114717,5251975,55031,27103,1377727,82835,,78,,13,172,,,38,,Lib,Con,Quebec
38,2004-06-28,,4070705,582247,2140525,4982220,64864,10756,1680109,33276,,99,,19,135,1,,54,,Lib,Con,Quebec
39,2006-01-23,,5416374,664068,2601599,4479415,81932,10198,1553201,10372,,124,,29,103,1,,51,,Con,Lib,Quebec
40,2008-10-14,1899,5241404,937613,2527850,3633185,96966,10950,1379991,4436,,143,,37,77,2,,49,,Con,Lib,Quebec
41,2011-05-02,,5859970,572095,4525230,2783076,80151,8704,891425,3329,,166,1,103,34,,,4,,Con,Labour,Lib
42,2015-10-19,,5633341,602933,3482599,6942937,67834,37176,821144,3504,,99,1,44,184,,,10,,Lib,Con,Labour
43,2019-10-21,,6176034,1162657,2857954,5915950,84783,301491,1379927,11468,,121,3,24,157,1,,32,,Lib,Con,Quebec
